NAICS2_NAME,SALARY_FROM
Finance and Insurance,125760
Health Care and Social Assistance,87900
Finance and Insurance,94200
Health Care and Social Assistance,85000
Finance and Insurance,70000
Information,78800
Information,70000
Information,93480
Finance and Insurance,68200
Finance and Insurance,72500
Information,70000
Information,77600
Health Care and Social Assistance,15000
Information,134900
Health Care and Social Assistance,72400
Information,48194
Information,156000
Information,48194
Information,48194
Health Care and Social Assistance,42203
Health Care and Social Assistance,104500
Finance and Insurance,88000
Finance and Insurance,92114
Information,171455
Finance and Insurance,147120
Information,97400
Finance and Insurance,75500
Information,97400
Health Care and Social Assistance,89565
Health Care and Social Assistance,89565
Finance and Insurance,85000
Health Care and Social Assistance,89565
Health Care and Social Assistance,89565
Finance and Insurance,60000
Finance and Insurance,60500
Finance and Insurance,78312
Health Care and Social Assistance,53311
Finance and Insurance,90000
Health Care and Social Assistance,60944
Finance and Insurance,86391
Finance and Insurance,175000
Information,165060
Information,125000
Health Care and Social Assistance,93955
Health Care and Social Assistance,97885
Health Care and Social Assistance,66955
Finance and Insurance,116280
Finance and Insurance,95000
Health Care and Social Assistance,83100
Health Care and Social Assistance,43451
Finance and Insurance,113840
Finance and Insurance,71441
Information,108000
Finance and Insurance,99160
Finance and Insurance,111100
Finance and Insurance,56000
Finance and Insurance,72576
Information,51000
Finance and Insurance,72576
Health Care and Social Assistance,54000
Health Care and Social Assistance,54000
Information,129806
Health Care and Social Assistance,47549
Health Care and Social Assistance,54018
Finance and Insurance,95000
Finance and Insurance,95000
Finance and Insurance,115000
Information,128310
Finance and Insurance,66000
Finance and Insurance,60500
Finance and Insurance,75000
Health Care and Social Assistance,27300
Information,95000
Information,38420
Finance and Insurance,85500
Information,95000
Information,201681
Finance and Insurance,57700
Health Care and Social Assistance,35776
Finance and Insurance,91100
Finance and Insurance,91100
Information,129000
Finance and Insurance,91100
Finance and Insurance,80000
Finance and Insurance,61110
Finance and Insurance,66000
Information,85000
Finance and Insurance,100000
Finance and Insurance,76000
Finance and Insurance,67500
Finance and Insurance,46000
Finance and Insurance,47937
Information,76700
Finance and Insurance,88430
Finance and Insurance,88430
Finance and Insurance,109130
Information,64200
Health Care and Social Assistance,120200
Information,100560
Finance and Insurance,81770
Health Care and Social Assistance,129400
Health Care and Social Assistance,125000
Health Care and Social Assistance,60000
Finance and Insurance,145180
Information,62100
Finance and Insurance,115300
Information,132200
Information,87166
Finance and Insurance,74000
Information,87166
Health Care and Social Assistance,60000
Finance and Insurance,74000
Information,87166
Information,87166
Information,87166
Health Care and Social Assistance,187200
Finance and Insurance,57700
Finance and Insurance,46000
Finance and Insurance,41600
Information,104740
Finance and Insurance,90300
Finance and Insurance,90300
Finance and Insurance,129840
Finance and Insurance,90300
Health Care and Social Assistance,139131
Finance and Insurance,90300
Finance and Insurance,90300
Information,88500
Information,181200
Health Care and Social Assistance,35360
Health Care and Social Assistance,70000
Information,181200
Finance and Insurance,80000
Information,120000
Information,104200
Information,113000
Health Care and Social Assistance,85238
Finance and Insurance,109130
Finance and Insurance,68200
Health Care and Social Assistance,253500
Finance and Insurance,91260
Health Care and Social Assistance,60000
Information,111480
Information,135300
Finance and Insurance,68200
Finance and Insurance,103000
Finance and Insurance,109130
Finance and Insurance,68200
Finance and Insurance,68200
Information,126000
Finance and Insurance,84000
Health Care and Social Assistance,103784
Finance and Insurance,67000
Finance and Insurance,67000
Information,121280
Health Care and Social Assistance,67392
Finance and Insurance,56160
Information,142000
Finance and Insurance,95285
Finance and Insurance,111100
Finance and Insurance,63700
Finance and Insurance,66000
Health Care and Social Assistance,65260
Health Care and Social Assistance,28392
Information,115000
Health Care and Social Assistance,58000
Finance and Insurance,81770
Finance and Insurance,81770
Finance and Insurance,20800
Finance and Insurance,129000
Finance and Insurance,123165
Health Care and Social Assistance,109491
Health Care and Social Assistance,84300
Information,75000
Finance and Insurance,125760
Finance and Insurance,65000
Finance and Insurance,99000
Health Care and Social Assistance,58240
Finance and Insurance,100000
Finance and Insurance,71441
Finance and Insurance,54940
Health Care and Social Assistance,65000
Finance and Insurance,121500
Finance and Insurance,60000
Finance and Insurance,80000
Finance and Insurance,96960
Finance and Insurance,39520
Finance and Insurance,59500
Information,152800
Information,105000
Finance and Insurance,55000
Information,69341
Finance and Insurance,129840
Finance and Insurance,115600
Finance and Insurance,68500
Information,208000
Information,59000
Finance and Insurance,99700
Finance and Insurance,216750
Information,125000
Health Care and Social Assistance,52000
Finance and Insurance,113810
Health Care and Social Assistance,107453
Finance and Insurance,122304
Finance and Insurance,86600
Finance and Insurance,107910
Finance and Insurance,122304
Information,127965
Information,108900
Finance and Insurance,59100
Information,104740
Finance and Insurance,87600
Health Care and Social Assistance,81494
Finance and Insurance,47840
Finance and Insurance,150000
Health Care and Social Assistance,43659
Information,71200
Finance and Insurance,89990
Finance and Insurance,67600
Health Care and Social Assistance,95592
Finance and Insurance,84000
Information,111480
Finance and Insurance,95000
Finance and Insurance,90281
Finance and Insurance,50877
Information,70900
Health Care and Social Assistance,90459
Finance and Insurance,70200
Health Care and Social Assistance,27300
Finance and Insurance,176720
Information,159500
Finance and Insurance,110000
Finance and Insurance,77200
Health Care and Social Assistance,133600
Information,73786
Finance and Insurance,176720
Finance and Insurance,77200
Health Care and Social Assistance,106108
Finance and Insurance,136200
Information,90000
Information,142000
Finance and Insurance,69200
Finance and Insurance,150000
Information,65000
Finance and Insurance,39520
Information,65000
Information,65000
Information,65000
Information,128310
Information,128310
Information,128310
Information,128310
Information,128310
Finance and Insurance,86840
Finance and Insurance,94900
Health Care and Social Assistance,101899
Information,106000
Information,106000
Finance and Insurance,85000
Finance and Insurance,58300
Finance and Insurance,77200
Finance and Insurance,95000
Health Care and Social Assistance,117062
Finance and Insurance,88250
Information,128310
Finance and Insurance,129455
Information,128310
Finance and Insurance,44000
Health Care and Social Assistance,114400
Finance and Insurance,73300
Information,85900
Finance and Insurance,90930
Health Care and Social Assistance,122387
Information,218888
Finance and Insurance,68000
Health Care and Social Assistance,27300
Health Care and Social Assistance,96800
Finance and Insurance,88430
Health Care and Social Assistance,97885
Information,77000
Information,111480
Information,111480
Finance and Insurance,112400
Information,111480
Finance and Insurance,57700
Finance and Insurance,112400
Information,111480
Information,117000
Information,117000
Information,117000
Information,117000
Finance and Insurance,93600
Information,152800
Information,152800
Information,93000
Finance and Insurance,110000
Health Care and Social Assistance,50253
Finance and Insurance,100400
Health Care and Social Assistance,48158
Information,132600
Finance and Insurance,108700
Finance and Insurance,67000
Finance and Insurance,113840
Finance and Insurance,94200
Information,250553
Finance and Insurance,135700
Health Care and Social Assistance,73763
Finance and Insurance,90300
Information,104740
Finance and Insurance,88430
Finance and Insurance,90300
Finance and Insurance,84000
Finance and Insurance,90300
Finance and Insurance,108080
Information,250553
Information,250553
Information,88500
Health Care and Social Assistance,81494
Health Care and Social Assistance,81494
Information,59800
Information,71200
Health Care and Social Assistance,81494
Finance and Insurance,56000
Information,119443
Health Care and Social Assistance,65000
Finance and Insurance,75500
Health Care and Social Assistance,90459
Information,71200
Information,62400
Health Care and Social Assistance,69326
Information,90000
Finance and Insurance,99660
Finance and Insurance,68200
Information,106000
Information,106000
Information,93600
Finance and Insurance,68200
Finance and Insurance,68200
Finance and Insurance,68200
Information,126000
Finance and Insurance,93309
Information,129806
Finance and Insurance,67000
Finance and Insurance,88000
Finance and Insurance,84000
Finance and Insurance,67000
Health Care and Social Assistance,62004
Finance and Insurance,52500
Finance and Insurance,98960
Finance and Insurance,121770
Finance and Insurance,60000
Information,69992
Information,129806
Health Care and Social Assistance,54018
Health Care and Social Assistance,125000
Information,104500
Information,44595
Finance and Insurance,88050
Finance and Insurance,83200
Health Care and Social Assistance,153360
Information,112000
Finance and Insurance,81770
Information,65000
Finance and Insurance,91500
Information,65000
Health Care and Social Assistance,89523
Information,78998
Information,125000
Information,63150
Finance and Insurance,70000
Finance and Insurance,125760
Finance and Insurance,52000
Information,92920
Information,86000
Information,112000
Information,140000
Information,86900
Finance and Insurance,62620
Finance and Insurance,100500
Finance and Insurance,100500
Finance and Insurance,91100
Finance and Insurance,52000
Finance and Insurance,139500
Finance and Insurance,125000
Finance and Insurance,115300
Information,80000
Finance and Insurance,137282
Information,119443
Health Care and Social Assistance,62400
Finance and Insurance,75300
Information,128300
Finance and Insurance,88350
Finance and Insurance,106935
Finance and Insurance,75100
Information,95000
Finance and Insurance,99700
Health Care and Social Assistance,68400
Finance and Insurance,81286
Information,94420
Information,94420
Finance and Insurance,115300
Information,128310
Finance and Insurance,99660
Information,80000
Finance and Insurance,99700
Finance and Insurance,176720
Information,124000
Information,124000
Finance and Insurance,153500
Information,75700
Finance and Insurance,85000
Finance and Insurance,163600
Finance and Insurance,114700
Finance and Insurance,93776
Health Care and Social Assistance,18720
Finance and Insurance,115000
Information,62400
Finance and Insurance,63800
Finance and Insurance,84000
Finance and Insurance,99700
Finance and Insurance,115300
Information,71200
Health Care and Social Assistance,57200
Information,66560
Finance and Insurance,66560
Health Care and Social Assistance,31200
Information,205000
Finance and Insurance,128730
Finance and Insurance,128730
Information,70000
Finance and Insurance,125000
Finance and Insurance,68200
Finance and Insurance,65000
Finance and Insurance,68200
Finance and Insurance,81770
Finance and Insurance,80000
Finance and Insurance,67000
Health Care and Social Assistance,60000
Information,77800
Finance and Insurance,122100
Finance and Insurance,52000
Information,85000
Finance and Insurance,57700
Finance and Insurance,105000
Finance and Insurance,85000
Finance and Insurance,68000
Finance and Insurance,88000
Health Care and Social Assistance,43202
Information,66000
Information,209720
Information,130000
Information,115000
Finance and Insurance,62057
Finance and Insurance,102000
Health Care and Social Assistance,49920
Finance and Insurance,61110
Finance and Insurance,200000
Finance and Insurance,66977
Health Care and Social Assistance,83600
Information,77800
Health Care and Social Assistance,70346
Information,77800
Information,98000
Health Care and Social Assistance,97885
Finance and Insurance,86840
Information,120100
Information,75000
Information,75441
Finance and Insurance,86840
Finance and Insurance,34466
Finance and Insurance,24960
Finance and Insurance,104000
Information,45000
Finance and Insurance,41600
Finance and Insurance,80759
Information,64480
Information,141300
Information,106000
Finance and Insurance,65000
Health Care and Social Assistance,50225
Health Care and Social Assistance,68964
Finance and Insurance,76900
Finance and Insurance,99911
Information,66900
Health Care and Social Assistance,62400
Finance and Insurance,68000
Information,146000
Health Care and Social Assistance,48360
Finance and Insurance,67000
Finance and Insurance,67000
Finance and Insurance,67000
Information,159000
Finance and Insurance,141440
Health Care and Social Assistance,54000
Information,62400
Information,117200
Finance and Insurance,76000
Information,200000
Health Care and Social Assistance,104458
Information,141000
Health Care and Social Assistance,104458
Information,207400
Health Care and Social Assistance,104458
Health Care and Social Assistance,104458
Health Care and Social Assistance,104458
Health Care and Social Assistance,104458
Finance and Insurance,34500
Information,106400
Finance and Insurance,48000
Information,209720
Finance and Insurance,50000
Finance and Insurance,142320
Finance and Insurance,120000
Finance and Insurance,15600
Finance and Insurance,190000
Information,100000
Finance and Insurance,88000
Finance and Insurance,105600
Health Care and Social Assistance,57907
Information,51792
Information,86210
Finance and Insurance,76000
Finance and Insurance,68640
Information,97400
Information,240050
Finance and Insurance,77100
Information,88500
Information,240050
Finance and Insurance,102500
Information,97400
Information,240050
Information,39499
Health Care and Social Assistance,275000
Information,105000
Finance and Insurance,154057
Finance and Insurance,60000
Information,127965
Finance and Insurance,107930
Finance and Insurance,183000
Health Care and Social Assistance,79000
Finance and Insurance,77436
Health Care and Social Assistance,60000
Information,100000
Health Care and Social Assistance,35360
Health Care and Social Assistance,27300
Health Care and Social Assistance,67361
Information,117000
Finance and Insurance,95000
Finance and Insurance,141830
Information,110100
Finance and Insurance,71986
Finance and Insurance,87280
Information,121280
Finance and Insurance,38002
Finance and Insurance,64685
Finance and Insurance,122100
Finance and Insurance,93600
Finance and Insurance,96400
Information,88500
Finance and Insurance,115300
Information,160900
Finance and Insurance,95000
Information,119443
Health Care and Social Assistance,70000
Finance and Insurance,123202
Information,47840
Health Care and Social Assistance,141689
Finance and Insurance,68015
Finance and Insurance,122304
Finance and Insurance,107910
Information,78900
Finance and Insurance,111100
Finance and Insurance,86600
Information,88500
Finance and Insurance,107910
Finance and Insurance,129100
Finance and Insurance,200000
Health Care and Social Assistance,66220
Health Care and Social Assistance,72218
Health Care and Social Assistance,85000
Health Care and Social Assistance,80000
Finance and Insurance,33758
Information,86900
Finance and Insurance,105000
Finance and Insurance,33758
Finance and Insurance,54373
Finance and Insurance,157500
Finance and Insurance,33758
Health Care and Social Assistance,80000
Information,115970
Information,104740
Finance and Insurance,65550
Finance and Insurance,90300
Finance and Insurance,52000
Information,104740
Information,104740
Finance and Insurance,55000
Finance and Insurance,90300
Information,104740
Information,71200
Finance and Insurance,47570
Finance and Insurance,86600
Finance and Insurance,138720
Information,86030
Information,128310
Information,91200
Information,128310
Information,128310
Health Care and Social Assistance,60000
Information,128310
Finance and Insurance,125760
Health Care and Social Assistance,59696
Finance and Insurance,145600
Health Care and Social Assistance,45000
Health Care and Social Assistance,42016
Health Care and Social Assistance,56854
Health Care and Social Assistance,58500
Information,70800
Finance and Insurance,20800
Finance and Insurance,88000
Health Care and Social Assistance,85800
Finance and Insurance,142320
Information,87166
Information,87166
Finance and Insurance,74000
Health Care and Social Assistance,51824
Finance and Insurance,74000
Health Care and Social Assistance,66560
Finance and Insurance,77200
Finance and Insurance,77200
Health Care and Social Assistance,63357
Health Care and Social Assistance,127600
Finance and Insurance,88000
Finance and Insurance,141440
Finance and Insurance,139500
Finance and Insurance,96471
Health Care and Social Assistance,58240
Health Care and Social Assistance,71760
Finance and Insurance,68000
Finance and Insurance,142320
Health Care and Social Assistance,81494
Finance and Insurance,115300
Health Care and Social Assistance,81494
Health Care and Social Assistance,81494
Health Care and Social Assistance,81494
Information,124000
Health Care and Social Assistance,81494
Health Care and Social Assistance,81494
Health Care and Social Assistance,81494
Finance and Insurance,117000
Information,110000
Finance and Insurance,74000
Information,120000
Information,104740
Information,104740
Finance and Insurance,98000
Health Care and Social Assistance,89565
Information,116300
Health Care and Social Assistance,89565
Finance and Insurance,87800
Information,69992
Finance and Insurance,68200
Finance and Insurance,78700
Information,48194
Information,48194
Information,48194
Information,48194
Information,48194
Information,48194
Finance and Insurance,65792
Finance and Insurance,44937
Finance and Insurance,65792
Finance and Insurance,237800
Finance and Insurance,65792
Finance and Insurance,90000
Information,136038
Health Care and Social Assistance,76315
Information,116900
Health Care and Social Assistance,71510
Finance and Insurance,68388
Information,70700
Health Care and Social Assistance,62400
Health Care and Social Assistance,59000
Health Care and Social Assistance,166400
Information,218888
Finance and Insurance,115300
Finance and Insurance,54373
Finance and Insurance,52500
Finance and Insurance,103000
Health Care and Social Assistance,98900
Information,90129
Finance and Insurance,97200
Health Care and Social Assistance,82168
Health Care and Social Assistance,170400
Information,68000
Finance and Insurance,78270
Finance and Insurance,115300
Health Care and Social Assistance,75795
Health Care and Social Assistance,67400
Health Care and Social Assistance,110926
Health Care and Social Assistance,75795
Information,128310
Information,128310
Information,128310
Health Care and Social Assistance,455375
Information,91200
Finance and Insurance,60600
Finance and Insurance,71247
Information,500000
Information,128310
Information,94420
Finance and Insurance,76900
Finance and Insurance,41600
Finance and Insurance,73528
Information,94420
Information,94420
Finance and Insurance,55000
Information,72400
Information,218888
Information,218888
Health Care and Social Assistance,54000
Information,99000
Finance and Insurance,200000
Finance and Insurance,109130
Finance and Insurance,90000
Information,146000
Finance and Insurance,90000
Information,118000
Finance and Insurance,79120
Finance and Insurance,97000
Finance and Insurance,90000
Information,100000
Finance and Insurance,156160
Information,63003
Finance and Insurance,86600
Finance and Insurance,80000
Finance and Insurance,80500
Health Care and Social Assistance,38480
Health Care and Social Assistance,67400
Health Care and Social Assistance,113100
Finance and Insurance,76900
Finance and Insurance,102340
Finance and Insurance,104700
Information,87000
Health Care and Social Assistance,65000
Finance and Insurance,69360
Finance and Insurance,60000
Finance and Insurance,89500
Information,51709
Information,121805
Finance and Insurance,77026
Finance and Insurance,87000
Information,41309
Finance and Insurance,87280
Information,127965
Finance and Insurance,79300
Finance and Insurance,79300
Health Care and Social Assistance,44005
Information,250553
Finance and Insurance,66977
Information,126500
Finance and Insurance,104700
Finance and Insurance,121770
Information,58240
Finance and Insurance,176720
Finance and Insurance,38480
Information,176000
Information,110000
Finance and Insurance,215000
Information,65000
Finance and Insurance,70200
Finance and Insurance,93100
Finance and Insurance,121770
Information,141000
Information,62000
Health Care and Social Assistance,72000
Finance and Insurance,63750
Information,86030
Information,240050
Information,70027
Finance and Insurance,105600
Information,84000
Finance and Insurance,58760
Health Care and Social Assistance,80000
Finance and Insurance,84000
Finance and Insurance,87300
Finance and Insurance,84000
Finance and Insurance,122100
Information,45045
Health Care and Social Assistance,455375
Information,78998
Finance and Insurance,115300
Finance and Insurance,70200
Health Care and Social Assistance,65000
Finance and Insurance,113810
Finance and Insurance,73300
Health Care and Social Assistance,63544
Finance and Insurance,63000
Health Care and Social Assistance,45760
Information,63150
Finance and Insurance,60000
Finance and Insurance,89990
Finance and Insurance,98631
Health Care and Social Assistance,31200
Information,71200
Information,94420
Finance and Insurance,176720
Information,206000
Information,94420
Information,94420
Finance and Insurance,102340
Information,94420
Information,180700
Information,206000
Information,206000
Finance and Insurance,59200
Information,71200
Finance and Insurance,145180
Finance and Insurance,96471
Finance and Insurance,59100
Health Care and Social Assistance,80000
Health Care and Social Assistance,141614
Finance and Insurance,104800
Finance and Insurance,81770
Finance and Insurance,118800
Finance and Insurance,93800
Information,86900
Finance and Insurance,139500
Health Care and Social Assistance,62982
Health Care and Social Assistance,74942
Finance and Insurance,77436
Finance and Insurance,110240
Finance and Insurance,90300
Information,135000
Finance and Insurance,153500
Information,90100
Finance and Insurance,136120
Information,65000
Information,165060
Finance and Insurance,153500
Health Care and Social Assistance,75000
Information,77800
Finance and Insurance,140000
Finance and Insurance,105301
Health Care and Social Assistance,50225
Finance and Insurance,105301
Finance and Insurance,41600
Finance and Insurance,105301
Finance and Insurance,105301
Finance and Insurance,41600
Finance and Insurance,142320
Finance and Insurance,105301
Health Care and Social Assistance,37440
Finance and Insurance,105301
Health Care and Social Assistance,142300
Finance and Insurance,119200
Information,152400
Finance and Insurance,163600
Finance and Insurance,90100
Finance and Insurance,114000
Information,119443
Finance and Insurance,52080
Finance and Insurance,105600
Information,51709
Finance and Insurance,31200
Finance and Insurance,31200
Finance and Insurance,31200
Finance and Insurance,79400
Information,183695
Finance and Insurance,31200
Finance and Insurance,102000
Finance and Insurance,31200
Information,242585
Information,183695
Finance and Insurance,31200
Information,183695
Finance and Insurance,31200
Finance and Insurance,31200
Finance and Insurance,58240
Health Care and Social Assistance,90459
Finance and Insurance,65000
Finance and Insurance,92435
Finance and Insurance,65000
Health Care and Social Assistance,90459
Finance and Insurance,135200
Finance and Insurance,200000
Finance and Insurance,69383
Finance and Insurance,85247
Finance and Insurance,79135
Finance and Insurance,105600
Finance and Insurance,60500
Finance and Insurance,70080
Finance and Insurance,57000
Information,77800
Finance and Insurance,114720
Finance and Insurance,100500
Information,77800
Information,72350
Information,51709
Health Care and Social Assistance,62200
Finance and Insurance,89990
Information,66700
Finance and Insurance,80496
Finance and Insurance,200000
Finance and Insurance,79300
Finance and Insurance,88000
Health Care and Social Assistance,67400
Information,71200
Finance and Insurance,88000
Finance and Insurance,76516
Finance and Insurance,74000
Information,133427
Information,104740
Finance and Insurance,88000
Information,104740
Finance and Insurance,59100
Information,104740
Finance and Insurance,100400
Health Care and Social Assistance,139131
Information,81209
Health Care and Social Assistance,62400
Finance and Insurance,71986
Health Care and Social Assistance,27300
Finance and Insurance,113840
Finance and Insurance,65000
Finance and Insurance,68200
Health Care and Social Assistance,151020
Finance and Insurance,83200
Finance and Insurance,92114
Finance and Insurance,109400
Finance and Insurance,122304
Health Care and Social Assistance,90459
Finance and Insurance,87027
Health Care and Social Assistance,67600
Information,157200
Information,65000
Information,65000
Information,65000
Information,65000
Information,65000
Health Care and Social Assistance,60000
Finance and Insurance,67000
Information,100000
Finance and Insurance,87280
Finance and Insurance,61110
Health Care and Social Assistance,58448
Finance and Insurance,115300
Information,97400
Health Care and Social Assistance,90272
Health Care and Social Assistance,75795
Information,118000
Finance and Insurance,109120
Finance and Insurance,216750
Health Care and Social Assistance,35000
Information,70000
Information,188748
Finance and Insurance,61120
Finance and Insurance,97870
Finance and Insurance,85000
Finance and Insurance,86200
Finance and Insurance,130000
Finance and Insurance,95000
Finance and Insurance,104000
Finance and Insurance,125760
Information,128310
Information,128310
Information,128310
Information,208000
Finance and Insurance,71043
Finance and Insurance,78000
Finance and Insurance,63000
Finance and Insurance,89045
Finance and Insurance,64000
Information,128310
Information,94420
Information,94420
Finance and Insurance,41600
Information,94420
Information,94420
Information,94420
Finance and Insurance,71441
Health Care and Social Assistance,78840
Finance and Insurance,125760
Finance and Insurance,55000
Finance and Insurance,71441
Health Care and Social Assistance,70000
Information,159000
Information,152500
Health Care and Social Assistance,78000
Health Care and Social Assistance,32240
Finance and Insurance,87006
Finance and Insurance,64000
Health Care and Social Assistance,140300
Finance and Insurance,61110
Finance and Insurance,100000
Information,71200
Finance and Insurance,113250
Finance and Insurance,44000
Finance and Insurance,200000
Finance and Insurance,75000
Finance and Insurance,66977
Finance and Insurance,100000
Finance and Insurance,60000
Finance and Insurance,76400
Finance and Insurance,60000
Finance and Insurance,120400
Information,163000
Finance and Insurance,88430
Finance and Insurance,81770
Health Care and Social Assistance,64500
Health Care and Social Assistance,174491
Information,96990
Finance and Insurance,72000
Finance and Insurance,90000
Finance and Insurance,94000
Information,125000
Information,206000
Health Care and Social Assistance,41600
Finance and Insurance,139500
Finance and Insurance,90000
Finance and Insurance,72576
Finance and Insurance,139500
Finance and Insurance,111100
Information,60000
Finance and Insurance,109130
Finance and Insurance,122304
Finance and Insurance,87280
Information,104000
Health Care and Social Assistance,65000
Finance and Insurance,115300
Finance and Insurance,70200
Information,78998
Finance and Insurance,68200
Information,26125
Finance and Insurance,71500
Finance and Insurance,68200
Finance and Insurance,68200
Information,141000
Information,136800
Health Care and Social Assistance,65000
Finance and Insurance,77000
Finance and Insurance,144400
Finance and Insurance,200304
Finance and Insurance,55000
Information,63003
Finance and Insurance,90300
Finance and Insurance,111100
Finance and Insurance,72576
Finance and Insurance,91100
Finance and Insurance,91100
Finance and Insurance,91100
Finance and Insurance,91100
Health Care and Social Assistance,66560
Information,125000
Information,199234
Health Care and Social Assistance,67400
Finance and Insurance,100000
Finance and Insurance,89990
Information,119706
Finance and Insurance,69000
Finance and Insurance,49920
Finance and Insurance,51000
Finance and Insurance,95000
Finance and Insurance,81770
Finance and Insurance,95000
Finance and Insurance,84000
Finance and Insurance,95000
Finance and Insurance,95000
Finance and Insurance,95000
Finance and Insurance,118800
Information,127965
Finance and Insurance,96960
Health Care and Social Assistance,90459
Finance and Insurance,76610
Finance and Insurance,99160
Information,250553
Information,66720
Finance and Insurance,144400
Information,105000
Finance and Insurance,136200
Finance and Insurance,103920
