NAICS2_NAME,SKILL,skill_count
Finance and Insurance,"\"AWS Certified Solutions Architect Professional\"
]",9
Finance and Insurance,"\"Windows Servers\"",8
Health Care and Social Assistance,"\"Policy Analysis\"",5
Health Care and Social Assistance,"\"System Integrity\"",5
Health Care and Social Assistance,"\"Medicaid\"
]",9
Finance and Insurance,"\"Location Strategy\"",9
Health Care and Social Assistance,"\"Business Development Company (BDC)\"",1
Finance and Insurance,"\"Interaction Design\"",5
Information,"\"Financial Data Management\"",4
Health Care and Social Assistance,"\"Sales Operations\"",4
Health Care and Social Assistance,"\"Data-Structured Language\"",48
Finance and Insurance,"\"Empirical Analysis\"",1
Health Care and Social Assistance,"\"GoToAssist\"",1
Finance and Insurance,"\"IDoc (Intermediate Document)\"",1
Information,"\"Quantitative Data Analysis\"
]",1
Health Care and Social Assistance,"\"Public Health Informatics\"",5
Health Care and Social Assistance,"\"Django (Web Framework)\"",2
Information,"\"Oracle Purchasing\"",1
Information,"\"Denial-Of-Service (DoS) Attacks\"",1
Health Care and Social Assistance,"\"Technology Assessment\"",2
Information,"\"Comparative Analysis\"",1
Information,"\"Change Management Planning\"",1
Finance and Insurance,"[
  \"Scrum (Software Development)\"",6
Health Care and Social Assistance,"\"Computerized Accounting\"",1
Health Care and Social Assistance,"\"Bidding\"",3
Finance and Insurance,"\"Product Catalog Management\"",1
Health Care and Social Assistance,"\"Point-Of-Care Testing\"",1
Health Care and Social Assistance,"\"ASC 606 (Revenue Recognition)\"",1
Information,"\"Software Localization\"",1
Information,"\"Syndicated Finance\"",6
Finance and Insurance,"\"SQL Server Agent\"",1
Finance and Insurance,"\"Notary Services\"
]",1
Finance and Insurance,"\"Value-Based Care\"",1
Finance and Insurance,"\"Value Averaging\"",1
Information,"\"Discussion Facilitation\"
]",1
Health Care and Social Assistance,"[
  \"Agile Methodology\"",1
Finance and Insurance,"\"Federated Database Systems\"",5
Finance and Insurance,"[
  \"Certified In Risk And Information Systems Control\"",1
Information,"\"Employee Performance Management\"",2
Finance and Insurance,"\"Provider Data Management\"
]",1
Finance and Insurance,"\"Java Persistence API\"",1
Finance and Insurance,"[
  \"Board Certified Behavior Analyst (BCBA)\"",1
Finance and Insurance,"\"Audit Risk\"",33
Finance and Insurance,"\"Data Literacy\"",50
Finance and Insurance,"\"Marketing Research\"",26
Finance and Insurance,"\"Stored Procedure\"",63
Information,"[
  \"Marketing Operations\"",7
Information,"\"Requirements Elicitation\"",112
Health Care and Social Assistance,"\"Data Access\"",25
Finance and Insurance,"\"Algorithm Design\"",15
Health Care and Social Assistance,"[
  \"Management\"",85
Finance and Insurance,"\"Corporate Strategy\"",59
Health Care and Social Assistance,"\"Database Programming\"",3
Finance and Insurance,"\"Treasury Management\"",20
Information,"\"Oracle Exadata\"",7
Information,"\"Accounting Information Systems\"",31
Information,"\"Software Defined Networking (SDN)\"",22
Information,"\"Aruba (Network Management Software)\"",6
Health Care and Social Assistance,"\"Invoice Review\"",1
Finance and Insurance,"\"Session Description Protocol\"",12
Information,"\"Human Capital Management (HCM)\"",18
Finance and Insurance,"\"Inventory Monitoring\"",10
Information,"\"Amazon QuickSight\"",4
Information,"\"Linux Administration\"
]",3
Information,"\"Adobe Illustrator\"",4
Health Care and Social Assistance,"\"Extensible Stylesheet Language Transformations (XSLT)\"",4
Health Care and Social Assistance,"\"Command-Line Interface\"",2
Information,"\"Consulting\"
]",4
Health Care and Social Assistance,"\"Adobe Analytics\"",1
Finance and Insurance,"\"Strong Academic Record\"",3
Information,"\"Life Sciences\"",5
Information,"\"Virtual Teams\"",16
Health Care and Social Assistance,"\"Apple Xcode\"",3
Finance and Insurance,"\"Multiple Launch Rocket System\"",1
Health Care and Social Assistance,"\"Service Improvement Planning\"",8
Health Care and Social Assistance,"\"Primary Care\"
]",1
Information,"\"Hootsuite (Social Media Management Software)\"
]",1
Finance and Insurance,"\"Metabase (Software)\"
]",2
Health Care and Social Assistance,"\"Applicant Tracking Systems\"",2
Health Care and Social Assistance,"\"Nursing Homes\"",3
Finance and Insurance,"\"Global Delivery Model\"",1
Finance and Insurance,"[
  \"Conceptual Architecture\"",5
Finance and Insurance,"\"Advanced Analytics\"
]",3
Finance and Insurance,"\"Maintenance Repair And Operations (MRO)\"",1
Finance and Insurance,"\"Polling\"",1
Health Care and Social Assistance,"\"Python For Data Analysis\"",2
Finance and Insurance,"\"Software Stress Testing\"",1
Health Care and Social Assistance,"\"EpicCare Inpatient\"",1
Information,"\"Oracle Receivables\"
]",1
Health Care and Social Assistance,"\"Artificial Neural Networks\"
]",2
Information,"\"Program Optimization\"",1
Finance and Insurance,"\"Innovation Strategy\"",1
Information,"\"Microsoft Windows\"
]",1
Health Care and Social Assistance,"\"Competitive Intelligence\"",1
Finance and Insurance,"[
  \"Data Compilation\"",1
Finance and Insurance,"\"Propensity Modeling\"",1
Health Care and Social Assistance,"\"Process Engineering\"
]",1
Health Care and Social Assistance,"\"e-Builder (CPMS Software)\"",1
Health Care and Social Assistance,"[
  \"Advanced Business Application Programming (ABAP)\"",3
Information,"\"Data Management Plan\"",1
Finance and Insurance,"[
  \"Dataset\"",2
Finance and Insurance,"\"Service Level Management\"
]",3
Information,"[
  \"Communication Strategies\"",1
Information,"\"Lightning Web Components\"",1
Finance and Insurance,"[
  \"Guidewire Core\"",1
Information,"[
  \"Original Equipment Manufacturer\"",1
Finance and Insurance,"\"Amazon Relational Database Services\"",1
Health Care and Social Assistance,"\"Digital Security\"",1
Information,"\"Ad Hoc Reporting\"",102
Finance and Insurance,"\"Technology Strategies\"",220
Finance and Insurance,"\"Business Analytics\"",250
Information,"\"Scalability\"",397
Finance and Insurance,"\"System Requirements\"",33
Information,"\"Analytical Skills\"",353
Health Care and Social Assistance,"\"Software Defined Networking (SDN)\"",3
Health Care and Social Assistance,"\"Network Virtualization\"",3
Finance and Insurance,"\"Problem Solving\"
]",187
Health Care and Social Assistance,"[
  \"Power BI\"",222
Information,"\"Data Extraction\"",73
Finance and Insurance,"\"Local Area Networks\"",16
Information,"\"Data Ingestion\"",43
Finance and Insurance,"\"Cash Handling\"",56
Information,"\"Rapport Building\"",99
Finance and Insurance,"[
  \"Debugging\"",28
Finance and Insurance,"\"Information Framework\"",8
Finance and Insurance,"\"Security Controls\"",23
Information,"\"Active Directory Federation Services\"",4
Finance and Insurance,"\"Account Strategy\"",21
Health Care and Social Assistance,"\"Equities\"",9
Finance and Insurance,"\"Blueprinting\"",20
Finance and Insurance,"\"Conflict Management\"",13
Finance and Insurance,"\"Project Management Software\"
]",3
Health Care and Social Assistance,"\"Electrocardiography\"",1
Information,"\"SAP NetWeaver Business Warehouse\"",11
Health Care and Social Assistance,"\"MAXQDA\"",2
Finance and Insurance,"\"Business Mathematics\"",6
Finance and Insurance,"\"Policy Governance\"",6
Finance and Insurance,"\"Facebook Graph API\"",13
Information,"\"Quality Assessment\"",5
Information,"\"Security Policies\"",21
Information,"\"Data Classification\"",14
Health Care and Social Assistance,"\"System Deployment\"",20
Finance and Insurance,"\"Cloud Identity and Access Management (IAM)\"",2
Health Care and Social Assistance,"\"Microsoft OneNote\"",5
Health Care and Social Assistance,"\"Wireless Networks\"",3
Information,"\"Data Recovery\"",1
Finance and Insurance,"\"Farming\"
]",1
Information,"\"Windows Defender\"",1
Health Care and Social Assistance,"\"Quality Assessment\"",7
Health Care and Social Assistance,"\"Microsoft Certified: Azure Administrator Associate\"",1
Health Care and Social Assistance,"\"Change Orders\"",1
Information,"\"Marketing Co-Operations\"",4
Health Care and Social Assistance,"\"Zuora\"",5
Health Care and Social Assistance,"\"Physical Stamina\"",3
Finance and Insurance,"[
  \"API Management\"",1
Health Care and Social Assistance,"\"Securities Research\"",3
Health Care and Social Assistance,"[
  \"Incident Reporting\"",3
Health Care and Social Assistance,"\"Protocol Analysis\"",1
Health Care and Social Assistance,"[
  \"Automation\"",1
Health Care and Social Assistance,"\"Clinical Assessments\"",2
Finance and Insurance,"\"Recommender Systems\"",1
Finance and Insurance,"\"H2O.ai\"",2
Health Care and Social Assistance,"\"Graphic Communication\"",9
Information,"\"Financial Controls\"",2
Finance and Insurance,"\"Payment Gateway\"",1
Information,"\"Network Flow\"",1
Health Care and Social Assistance,"\"Screen Reader\"",1
Health Care and Social Assistance,"[
  \"Communicating With Patients\"",1
Information,"\"Record Keeping\"",1
Finance and Insurance,"\"French Language\"",1
Information,"\"Public Opinion\"",1
Health Care and Social Assistance,"\"Hardware Architecture\"",1
Finance and Insurance,"\"Artificial Neural Networks\"",47
Finance and Insurance,"\"Process Development\"",103
Finance and Insurance,"\"Analytic Applications\"",96
Finance and Insurance,"\"Scientific Methods\"",10
Information,"\"Enterprise Resource Planning\"",209
Information,"\"Predictive Analytics\"",99
Health Care and Social Assistance,"\"SAP Material Management\"
]",1
Information,"\"Customer Success Management\"",235
Finance and Insurance,"\"Training And Development\"",150
Information,"\"Service-Level Agreement\"",61
Finance and Insurance,"\"Conformance Testing\"",1
Finance and Insurance,"\"Transfer Pricing\"",10
Health Care and Social Assistance,"[
  \"American Society For Clinical Pathology (ASCP) Certification\"",7
Finance and Insurance,"\"Jenkins\"",62
Health Care and Social Assistance,"\"Valid Driver's License\"",94
Finance and Insurance,"\"Test Data Management\"",2
Information,"\"Value Propositions\"",33
Health Care and Social Assistance,"\"Bagging Merchandise\"",1
Information,"[
  \"Cloud Computing\"",14
Information,"\"Microsoft Teams\"",26
Health Care and Social Assistance,"\"Goal-Oriented\"",9
Information,"[
  \"SAP S/4HANA\"",20
Finance and Insurance,"\"COBOL (Programming Language)\"",9
Information,"\"Direct Marketing\"",2
Finance and Insurance,"\"Nursing\"",48
Information,"\"Application Security\"",16
Finance and Insurance,"\"Technical Writing\"",40
Information,"\"Influencing Skills\"
]",2
Health Care and Social Assistance,"\"Next-Generation Sequencing\"",4
Health Care and Social Assistance,"[
  \"Patient Registration\"",1
Health Care and Social Assistance,"\"Mortgage Loans\"",7
Information,"[
  \"Warehousing\"
]",1
Finance and Insurance,"\"Regulatory Process\"",1
Health Care and Social Assistance,"\"Information Processing\"",6
Finance and Insurance,"\"Distribution Management Systems\"",2
Health Care and Social Assistance,"\"Keras (Neural Network Library)\"",3
Finance and Insurance,"\"Cash Management\"",24
Finance and Insurance,"\"Chartered Financial Consultant\"",3
Information,"\"Web Services Description Language\"",13
Health Care and Social Assistance,"\"RapidMiner\"",1
Health Care and Social Assistance,"\"Demand Analysis\"",3
Information,"\"Optimization Software\"",4
Information,"\"Turbines\"",1
Finance and Insurance,"\"Data Import/Export\"",8
Information,"\"Microsoft Power Automate\"",10
Health Care and Social Assistance,"\"Data Recording\"
]",1
Finance and Insurance,"[
  \"Gap Analysis\"",8
Finance and Insurance,"\"Automotive Service Excellence (ASE) Certification\"",1
Finance and Insurance,"\"Front End Design\"",2
Information,"\"Distributed Cloud\"",1
Information,"\"Recruitment Metrics\"",1
Information,"\"Strategic Alliance\"",1
Information,"\"Legal Discovery\"",4
Finance and Insurance,"\"Transformational Leadership\"",4
Health Care and Social Assistance,"\"HR Operations\"",2
Health Care and Social Assistance,"\"Multivariate Testing\"",1
Health Care and Social Assistance,"[
  \"Animal Health\"",1
Information,"\"Process Automation Systems\"",1
Health Care and Social Assistance,"\"Blood Cell\"",1
Health Care and Social Assistance,"\"Apache IBATIS\"",1
Health Care and Social Assistance,"\"Information Synthesis\"",6
Information,"\"Collibra (Software)\"",8
Information,"\"Aurora (Operating System)\"",1
Finance and Insurance,"[
  \"Custom Software\"",1
Information,"\"SAP Knowledge Warehouse\"",3
Finance and Insurance,"\"Working Capital\"",3
Finance and Insurance,"\"Style Guides\"",4
Health Care and Social Assistance,"[
  \"Performance Management\"",7
Health Care and Social Assistance,"\"Renewal Theory\"",1
Health Care and Social Assistance,"\"Social Perceptiveness\"",1
Health Care and Social Assistance,"\"Building Services Engineering\"",1
Finance and Insurance,"\"Demand Planning\"",2
Health Care and Social Assistance,"\"Venture Capital Investments\"",1
Information,"\"Apache Parquet\"",1
Finance and Insurance,"\"Mac OS\"",1
Information,"\"Document Production\"",1
Health Care and Social Assistance,"\"Scientific Studies\"",2
Finance and Insurance,"\"NLTK (NLP Analysis)\"",3
Health Care and Social Assistance,"\"Enterprise Architecture Framework\"
]",1
Health Care and Social Assistance,"\"Language Experience Approach\"",2
Finance and Insurance,"[
  \"Cash Management\"",1
Health Care and Social Assistance,"\"Electric Power Systems\"",1
Information,"\"Xbox One\"",1
Information,"\"Online Charging Systems\"",1
Information,"\"PeopleSoft Enterprise PeopleTools\"",1
Finance and Insurance,"\"Outside Sales\"",1
Finance and Insurance,"\"Current Procedural Terminology (CPT)\"",1
Health Care and Social Assistance,"\"Certified Ethical Hacker\"",2
Information,"\"Snapchat\"",1
Information,"\"Apache Subversion\"",1
Finance and Insurance,"\"Market Trend\"",80
Finance and Insurance,"\"Analytical Techniques\"",158
Information,"[
  \"Relational Databases\"",88
Finance and Insurance,"\"Unsupervised Learning\"",11
